# Proton,STDmax,ksat,STD0
H1,7.005053500439838,1.379348438989216,9.662409610867634
H2,13.34266255879964,1.110421978881684,14.81598576209285
H3,3.7236911617150144,1.023605002612341,3.811588901314849
H4,6.483021995301456,1.5476025056451523,10.03314108408117
H5,5.824787245792054,2.004421409066752,11.675328258724553
H6,2.168578118021399,6.76233565587974,14.66465313005669
H7,3.085062933207626,2.348852818271657,7.246358765210157
H8,4.783224025878686,1.678890762274468,8.030510630937016
