t_sat,0.5,0.75,1,1.5,2,3,5
H1,3.55,4.67,5.2,5.79,6.64,7.04,6.97
H2,6.26,7.53,8.98,10.39,11.57,13.01,13.53
H3,1.39,2.1,2.38,2.9,3.19,3.69,3.62
H4,3.55,4.45,4.95,5.9,6.32,6.44,6.38
H5,3.55,4.95,4.62,5.62,5.79,6.2,5.41
H6,2.08,2.25,2,2.12,2.22,2.5,1.92
H7,2.34,2.53,2.58,2.84,2.87,3.62,2.95
H8,2.84,3.52,3.73,4.24,4.62,4.86,4.81
